Y,M,D,T,TM,Tm,SLP,STP,H,PP,VV,V,VM,VG,FG,RA,SN,GR,TS,TR
1991,7,16,29.3,39,18,-,948.7,32,0,11.4,10.6,31.7,-,0,0,0,0,0,0
1991,7,17,30.2,38,21.6,-,950.2,29,0,10,9.3,29.4,-,0,0,0,0,0,0
1991,7,18,28.5,39.5,15.6,-,950.7,29,0,9.5,7.2,22.2,-,0,0,0,0,0,0
1991,7,19,29,37.6,20,-,949.3,32,0,10.6,7,29.4,-,0,0,0,0,0,0
1991,7,20,24.6,35.4,18,-,949.8,51,5.08,10,8.5,-,114.8,0,1,0,0,1,0
1991,7,21,24.7,35.5,17,-,948.5,48,2.03,10.5,5.2,14.8,-,0,0,0,0,1,0
1991,7,22,25.3,33,16,-,947.3,38,0,10.6,8,22.2,-,0,0,0,0,0,0
1991,7,23,27.2,36.2,16.2,-,948.9,35,0,11.3,8,18.3,31.7,0,0,0,0,0,0
1991,7,24,27.7,36,18,-,948.3,34,0,10.1,8.5,25.9,-,0,0,0,0,0,0
1991,7,25,25.6,34.4,17,-,948.3,40,0,10.5,11.5,22.2,29.4,0,0,0,0,0,0
1991,7,26,24.6,33,15.8,-,949.6,36,0,10,8.9,18.3,-,0,0,0,0,0,0
1991,7,27,26.7,36.6,17,-,947.7,37,0,10.5,6.9,18.3,-,0,0,0,0,0,0
1991,7,28,27.8,36,18.6,-,943.6,32,0,10.6,12.4,29.4,42.4,0,0,0,0,0,0
1991,7,29,23.2,27.4,19.4,-,943.9,38,0,11.4,26.9,44.3,61.1,0,0,0,0,0,0
1991,7,30,19.3,25,12,-,946.1,44,0,10.6,12.6,22.2,-,0,0,0,0,0,0
1991,7,31,21.4,29.4,12.4,-,949.8,42,0,10.8,12.8,25.9,-,0,0,0,0,0,0
1991,8,1,24.7,34.4,15,-,951.6,42,0,11.7,5.7,18.3,-,0,0,0,0,0,0
1991,8,2,27.4,36.2,17,-,953.1,38,0,11.1,4.4,13,-,0,0,0,0,0,0
1991,8,3,29.5,38.2,20,-,953.2,33,0,11.3,4.3,16.5,-,0,0,0,0,0,0
1991,8,4,30.3,38.8,21,-,951.3,32,0,10.5,7.6,18.3,-,0,0,0,0,0,0
1991,8,5,29.4,40,21,-,950.3,34,0,10.3,5.4,18.3,-,0,0,0,0,0,0
1991,8,6,30.2,39,19,-,947.9,32,0,10.8,7,20.6,-,0,0,0,0,0,0
1991,8,7,29.4,38,21,-,946.5,33,0,11.1,14.4,31.7,-,0,0,0,0,0,0
1991,8,8,23.4,29.4,16,-,951.1,42,0,10.5,22.2,37,55.4,0,0,0,0,0,0
1991,8,9,19.9,28,12,-,954.1,46,0,10.5,26.5,37,55.4,0,0,0,0,0,0
1991,8,10,23.7,32.6,15.4,-,954.3,47,0,11.3,14.4,27.8,-,0,0,0,0,0,0
1991,8,11,24.3,31,17,-,953,46,0,10.6,7.8,18.3,-,0,0,0,0,0,0
1991,8,12,24.8,33,15,-,951.7,44,0,10,4.3,14.8,-,0,0,0,0,0,0
1991,8,13,27.2,37,17,-,950.9,36,0,10.1,5.4,14.8,-,0,0,0,0,0,0
1991,8,14,28.2,39,17.6,-,950.1,35,0,10.5,6.9,27.8,-,0,0,0,0,0,0
1991,8,15,28.8,40,18,-,951.1,34,0,10.6,5,18.3,-,0,0,0,0,0,0
1991,8,16,29.8,41,20,-,950.3,34,0,10.6,7,29.4,-,0,0,0,0,0,0
1991,8,17,30.4,41,20,-,949.7,35,0,11.1,7.8,18.3,-,0,0,0,0,1,0
1991,8,18,28.8,37.6,21.8,-,948.9,38,0,11.1,5.7,16.5,-,0,0,0,0,0,0
1991,8,19,28.9,36.2,20,1013,949.7,35,0,10.3,10.6,29.4,-,0,0,0,0,0,0
1991,8,20,27.3,39,15,-,951.9,35,0,10,3.5,16.5,-,0,0,0,0,0,0
1991,8,21,28.6,36,22,-,948.2,34,0,10.6,15,59.1,-,0,0,0,0,0,0
1991,8,22,23.6,28,18,-,948.3,46,0,10.6,19.1,31.7,44.6,0,0,0,0,0,0
1991,8,23,23.9,32.4,15,-,950.9,47,0,10.8,6.3,18.3,-,0,0,0,0,0,0
1991,8,24,26.3,36,17,-,951.2,41,0,10.9,5.6,22.2,-,0,0,0,0,0,0
1991,8,25,26.6,36.4,16,-,950.2,39,0,10.6,5,22.2,-,0,0,0,0,0,0
1991,8,26,27.4,35,19,-,949.2,39,0,10.9,7,18.3,-,0,0,0,0,0,0
1991,8,27,27.3,35.5,19,-,950.4,40,0,10.8,8.3,25.9,-,0,0,0,0,0,0
1991,8,28,25.4,35,17,-,951.7,43,0,10.9,6.5,29.4,-,0,1,0,0,1,0
1991,8,29,24.8,34,16,-,948.8,42,0,10.9,9.4,31.7,-,0,0,0,0,0,0
1991,8,30,23.4,30.2,14,-,949.1,46,0,10.5,7.4,22.2,-,0,0,0,0,0,0
1991,8,31,22.8,30.4,16.6,-,951.1,47,0,11.4,9.4,24.1,33.5,0,0,0,0,0,0
1991,9,1,22.8,32,14,-,953.7,44,0,10.6,5.2,22.2,-,0,0,0,0,0,0
1991,9,2,23.8,32.5,15,-,953,44,0,10.6,5,22.2,-,0,0,0,0,0,0
1991,9,3,23.9,32.3,19,-,951.6,55,0,11.4,12.4,27.8,29.4,0,1,0,0,1,0
1991,9,4,23.1,30,19,-,952.5,59,0,11.3,10.7,22.2,-,0,0,0,0,1,0
1991,9,5,22.2,30.5,15,-,953.5,57,0,11.1,12.2,33.5,51.9,0,1,0,0,1,0
1991,9,6,21,26,16,-,954.9,59,1.02,10.9,5.4,18.3,-,0,1,0,0,1,0
1991,9,7,21.9,31.5,13.6,-,954,50,0,11.4,3.5,13,-,0,0,0,0,0,0
1991,9,8,24.1,32.5,15.8,-,951.4,44,0,10.8,4.3,14.8,-,0,0,0,0,0,0
1991,9,9,24.3,33,15.6,-,950,44,0,10.6,7,25.9,29.4,0,0,0,0,0,0
1991,9,10,24.4,32.4,16.6,-,951,50,0,10.8,8.1,22.2,-,0,0,0,0,0,0
1991,9,11,22.3,29.5,16.8,-,950.8,53,0,11.3,11.9,31.7,-,0,0,0,0,0,0
1991,9,12,20.5,27.4,13,-,951.7,55,0,11.1,3.5,18.3,-,0,0,0,0,0,0
1991,9,13,21.3,29,13,-,952.5,51,0,10.9,3.9,14.8,-,0,0,0,0,0,0
1991,9,14,22.8,31,15,-,952.8,50,0,10.6,2.6,11.1,-,0,0,0,0,0,0
1991,9,15,23.4,31.5,14.8,-,953.9,44,0,10.9,3.7,11.1,-,0,0,0,0,0,0
1991,9,16,23.8,32.2,15,-,955.1,44,0,10.3,3.5,11.1,-,0,0,0,0,0,0
1991,9,17,25.3,34.4,15.8,-,955.4,40,0,10.3,2.8,11.1,-,0,0,0,0,0,0
1991,9,18,25.5,35.8,15,-,952.8,41,0,10.5,3,13,-,0,0,0,0,0,0
1991,9,19,25.5,35.2,17,-,948.4,38,0,10.1,5.9,22.2,-,0,0,0,0,0,0
1991,9,20,22.4,32,15,-,946.3,45,0,10.9,7.6,40.7,59.4,0,1,0,0,1,0
1991,9,21,22.1,30,15.8,-,948,59,0.25,11.3,7.4,25.9,-,0,1,0,0,1,0
1991,9,22,21.8,29.2,16,-,951,58,1.02,11.1,8.3,22.2,-,0,0,0,0,1,0
1991,9,23,21.3,31.4,14,-,953.5,51,0,10.1,4.6,18.3,-,0,0,0,0,0,0
